OBJECTID,CODE,NAME,MEASURE,DESIG_DATE,HOTLINK,STATUS,Shape__Area,Shape__Length
1,5,NEW FOREST,567,4/1/2006 12:00:00 AM,http://www.newforestnpa.gov.uk/,Designated,566524771.760704,186207.159380692
2,3,EXMOOR,693,10/19/1954 12:00:00 AM,http://www.exmoor-nationalpark.gov.uk/,Designated,693121787.155697,168905.663868712
3,2,DARTMOOR,956,10/30/1951 12:00:00 AM,https://www.dartmoor.gov.uk/,Designated,955747461.428997,164533.573615854
4,8,PEAK DISTRICT,1438,4/17/1951 12:00:00 AM,http://www.peakdistrict.gov.uk/,Designated,1437831812.76915,334994.788292534
5,7,NORTH YORK MOORS,1441,11/28/1952 12:00:00 AM,http://www.northyorkmoors.org.uk/,Designated,1441061643.31471,304567.700378019
6,4,LAKE DISTRICT,2362,8/13/1951 12:00:00 AM,http://www.lakedistrict.gov.uk/,Designated,2362395507.3645,300263.086444567
7,1,THE BROADS,302,4/1/1989 12:00:00 AM,http://www.broads-authority.gov.uk/,Designated,301883218.721619,472686.489130896
8,10,SOUTH DOWNS,1653,3/31/2010 12:00:00 AM,http://southdowns.gov.uk/,Designated,1652679314.27636,602554.506861322
9,6,NORTHUMBERLAND,1051,4/17/1957 12:00:00 AM,http://www.northumberlandnationalpark.org.uk/,Designated,1050934416.02281,345486.021758976
10,9,YORKSHIRE DALES,2185,11/16/1954 12:00:00 AM,http://www.yorkshiredales.org.uk/,Designated,2184826674.64453,321727.493492801
